"id","type","title","front","back","teacher_use"
"log-scale-surprise-card-01","Data card","Day 1","Value: 1","Linear change: n/a. Ratio: n/a.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-02","Data card","Day 2","Value: 2","Linear change: 1. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-03","Data card","Day 3","Value: 4","Linear change: 2. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-04","Data card","Day 4","Value: 8","Linear change: 4. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-05","Data card","Day 5","Value: 16","Linear change: 8. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-06","Data card","Day 6","Value: 32","Linear change: 16. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-07","Data card","Day 7","Value: 64","Linear change: 32. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-card-08","Data card","Day 8","Value: 128","Linear change: 64. Ratio: x2.","Place values on both a linear and a logarithmic scale."
"log-scale-surprise-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"log-scale-surprise-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"log-scale-surprise-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"log-scale-surprise-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"log-scale-surprise-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"log-scale-surprise-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"log-scale-surprise-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","How does mathematical representation shape understanding?","Use as the main activity instruction."
"log-scale-surprise-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how mathematical representations can make the same relationship look explosive, steady, or manageable.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
